dtc_code,componente,descricao_falha,limiar_de_acionamento,procedimento_correcao
P0300,Cilindros Multiplos,Detecção de falha de ignicao aleatoria,Variacao angular do virabrequim > 3.5%,Verificar velas cabos e bicos injetores.
P0A80,Bateria de Tracao EV,Substituicao de pacote EV necessaria,Delta de tensao entre modulos > 0.35V,Rodar ciclo de balanceamento e equalizacao via scanner.
P0730,Transmissao Automatica,Relacao incorreta de marchas,Escorregamento de embreagem detectado,Conferir pressao da linha de oleo ATF e corpo de valvulas.
C0035,ABS / Freio Eletro-Hidraulico,Falha no sensor de velocidade da roda dianteira esquerda,Sinal do sensor ausente sob velocidade > 15 km/h,Inspecionar chicote do sensor indutivo/Hall e anel fônico da roda dianteira esquerda.
C1555,EPS (Direção Elétrica),Sobrecarga térmica no motor brushless da coluna de direção,Temperatura do estator EPS > 90C por mais de 5s,Limitar assistência de torque a 50% e verificar atrito mecânico na caixa de direção.
P0606,ECM (Módulo de Controle do Motor),Falha interna no processador/ROM da central eletrônica ECM,Soma de verificação de memória Flash divergente na inicialização,Reprogramar firmware da ECU via bootloader seguro; se persistir substituir módulo ECM.
P0106,ECM - Circuito MAP/Barométrico,Pressão do coletor fora da faixa de calibração dinâmica,Sinal do MAP diverge mais de 25 kPa da estimativa de carga da ECM,Substituir sensor MAP e inspecionar mangueiras de vácuo do coletor.
B1000,BCM (Body Control Module),Falha interna de hardware no módulo de conforto BCM,Tensão do barramento interno BCM < 9.0V durante acionamento de relés,Verificar aterramento do chicote da carroceria e fusíveis mestres do BCM.
P0700,TCM (Transmission Control Module),Mau funcionamento geral no sistema de controle da transmissão,Sinal de falha de engate reportado pelo barramento CAN do TCM,Inspecionar corpo de válvulas e solenoide de travamento do conversor de torque.
P0AA6,BPCM (Battery Pack Control Module),Perda de isolamento elétrico no barramento de alta tensão,Resistência de isolamento medida pelo BPCM < 100 ohms/V,Isolar pacotes de bateria com EPI classe 0 e verificar chicotes de aterramento do chassi.
